"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45408744955.162;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 17:52:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408744955.162;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 17:52:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408747431.4699;2;1;64;78;;;;;;;;;"26.04.2024 17:56:18";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408747443.1019;2;0;64;78;;;;;;;;;"26.04.2024 17:56:19";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408750625.8565;2;1;64;78;;;;;;;;;"26.04.2024 18:00:54";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408750637.338;2;0;64;78;;;;;;;;;"26.04.2024 18:00:55";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408750648.9352;2;1;64;78;;;;;;;;;"26.04.2024 18:00:56";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408750660.5787;2;0;64;78;;;;;;;;;"26.04.2024 18:00:57";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408751158.4606;2;1;64;78;;;;;;;;;"26.04.2024 18:01:40";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408751169.8148;2;0;64;78;;;;;;;;;"26.04.2024 18:01:41";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408751899.6181;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 18:02:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408751899.6181;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 18:02:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408754398.8542;2;1;64;78;;;;;;;;;"26.04.2024 18:06:20";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408754410.3704;2;0;64;78;;;;;;;;;"26.04.2024 18:06:21";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408758704.1319;2;1;64;78;;;;;;;;;"26.04.2024 18:12:32";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408758738.8542;2;0;64;78;;;;;;;;;"26.04.2024 18:12:35";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408758844.1319;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 18:12:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408758844.1319;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 18:12:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408765788.6111;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 18:22:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408765788.6111;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 18:22:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408767233.9352;2;1;64;78;;;;;;;;;"26.04.2024 18:24:49";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408767245.5324;2;0;64;78;;;;;;;;;"26.04.2024 18:24:50";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408768383.6921;2;1;64;130;;;;;;;;;"26.04.2024 18:26:28";"Warnung Thermoelement Bandheizer Zone 2 defekt";"SM"
45408768730.9144;2;0;64;130;;;;;;;;;"26.04.2024 18:26:58";"Warnung Thermoelement Bandheizer Zone 2 defekt";"SM"
45408772733.0671;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 18:32:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408772733.0671;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 18:32:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408775856.3194;2;1;64;78;;;;;;;;;"26.04.2024 18:37:14";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408775879.6296;2;0;64;78;;;;;;;;;"26.04.2024 18:37:16";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408779677.5926;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 18:42:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408779677.5926;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 18:42:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408780346.875;2;1;64;78;;;;;;;;;"26.04.2024 18:43:42";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408780358.4606;2;0;64;78;;;;;;;;;"26.04.2024 18:43:43";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408786622.0718;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 18:52:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408786622.0718;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 18:52:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408788344.213;2;1;64;78;;;;;;;;;"26.04.2024 18:55:13";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408788355.8449;2;0;64;78;;;;;;;;;"26.04.2024 18:55:14";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
